what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.ui",1386011906417
started,bundle,org.eclipse.mylyn.context.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.core",1386011906417
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.tasks.ui",1386011906418
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.monitor.ui",1386011906419
started,bundle,org.eclipse.mylyn.tasks.index.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.index.core",1386011906419
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui",1386011906420
started,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1386011906420
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1386011906421
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1386011906421
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1386011906422
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1386011906422
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1386011906423
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1386011906423
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1386011906424
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1386011906424
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1386011906425
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1386011906426
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1386011906426
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1386011906427
started,bundle,org.eclipse.wb.discovery.core,1.5.2.r42x201303061516,"org.eclipse.wb.discovery.core",1386011906427
started,bundle,org.eclipse.wb.discovery.ui,1.5.2.r42x201303061516,"org.eclipse.wb.discovery.ui",1386011906427
started,bundle,com.google.gdt.eclipse.apiclientlib,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.apiclientlib",1386011906428
started,bundle,com.google.gdt.eclipse.core,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.core",1386011906428
started,bundle,com.google.gdt.eclipse.login,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.login",1386011906429
started,bundle,com.google.gdt.eclipse.managedapis,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.managedapis",1386011906429
started,bundle,com.google.gdt.eclipse.suite.ext,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.suite.ext",1386011906429
started,bundle,org.eclipse.mylyn.commons.core,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.core",1386011906429
started,bundle,org.eclipse.mylyn.commons.ui,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.ui",1386011906430
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.4.v20130429-0100,"org.eclipse.mylyn.commons.workbench",1386011906430
os,sysinfo,,,"win32",1386011906433
arch,sysinfo,,,"x86_64",1386011906433
ws,sysinfo,,,"win32",1386011906433
locale,sysinfo,,,"en_GB",1386011906433
processors,sysinfo,,,"8",1386011906434
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386011906434
java.runtime.version,sysinfo,,,"1.7.0_21-b11",1386011906434
java.specification.name,sysinfo,,,"Java Platform API Specification",1386011906434
java.specification.vendor,sysinfo,,,"Oracle Corporation",1386011906434
java.specification.version,sysinfo,,,"1.7",1386011906434
java.vendor,sysinfo,,,"Oracle Corporation",1386011906434
java.version,sysinfo,,,"1.7.0_21",1386011906434
java.vm.info,sysinfo,,,"mixed mode",1386011906434
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386011906434
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386011906434
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1386011906434
java.vm.specification.version,sysinfo,,,"1.7",1386011906434
java.vm.vendor,sysinfo,,,"Oracle Corporation",1386011906434
java.vm.version,sysinfo,,,"23.21-b01",1386011906434
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1386011906436
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386011921002
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1386011921020
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1386011921043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386011927543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386011954296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1386011954303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386011957495
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1386011967359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386011996192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1386011996204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012006815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012020663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012022124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012023551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012024514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012026691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012048769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012317646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012318927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012335470
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386012340019
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1386012342471
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386012342475
stopped,bundle,com.google.gdt.eclipse.suite.ext,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.suite.ext",1386012342585
stopped,bundle,com.google.gdt.eclipse.drive,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.drive",1386012342586
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1386012342587
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1386012342588
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1386012342588
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1386012342589
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1386012342589
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1386012342589
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1386012342590
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1386012342590
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1386012342591
stopped,bundle,com.google.appengine.eclipse.datatools,3.4.2.v201310081825-rel-r37,"com.google.appengine.eclipse.datatools",1386012342592
stopped,bundle,com.google.appengine.eclipse.webtools,3.4.2.v201310081825-rel-r37,"com.google.appengine.eclipse.webtools",1386012342592
stopped,bundle,com.google.gdt.eclipse.appengine.swarm_backend,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.appengine.swarm_backend",1386012342593
stopped,bundle,com.google.gdt.eclipse.appengine.swarm,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.appengine.swarm",1386012342593
stopped,bundle,com.google.gdt.eclipse.gph.e36,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.gph.e36",1386012342594
stopped,bundle,com.google.gdt.eclipse.gph.hge,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.gph.hge",1386012342595
stopped,bundle,com.google.gdt.eclipse.gph.subclipse,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.gph.subclipse",1386012342596
stopped,bundle,com.google.gdt.eclipse.gph.subversive,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.gph.subversive",1386012342596
stopped,bundle,com.google.gdt.eclipse.suite.ext.e35,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.suite.ext.e35",1386012342597
stopped,bundle,com.google.gdt.eclipse.suite.ext.e38,3.4.2.v201310081840-rel-r42,"com.google.gdt.eclipse.suite.ext.e38",1386012342597
stopped,bundle,com.google.gdt.eclipse.gph,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.gph",1386012342598
stopped,bundle,com.google.gdt.eclipse.maven.e37,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.maven.e37",1386012342599
stopped,bundle,com.google.gdt.eclipse.maven,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.maven",1386012342599
stopped,bundle,com.google.gdt.eclipse.suite,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.suite",1386012342599
stopped,bundle,com.google.gdt.eclipse.appsmarketplace,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.appsmarketplace",1386012342600
stopped,bundle,com.google.gdt.eclipse.managedapis,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.managedapis",1386012342600
stopped,bundle,com.google.appengine.eclipse.core,3.4.2.v201310081825-rel-r37,"com.google.appengine.eclipse.core",1386012342601
stopped,bundle,com.google.gdt.eclipse.appengine.api,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.appengine.api",1386012342601
stopped,bundle,com.google.gdt.eclipse.login,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.login",1386012342601
stopped,bundle,com.google.gwt.eclipse.oophm,3.4.2.v201310081825-rel-r37,"com.google.gwt.eclipse.oophm",1386012342602
stopped,bundle,com.google.gwt.eclipse.core,3.4.2.v201310081825-rel-r37,"com.google.gwt.eclipse.core",1386012342603
stopped,bundle,com.google.gdt.eclipse.core,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.core",1386012342603
stopped,bundle,com.google.gdt.eclipse.platform,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.platform",1386012342603
stopped,bundle,com.google.gdt.eclipse.platform.e37,3.4.2.v201310081825-rel-r37,"com.google.gdt.eclipse.platform.e37",1386012342604
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1386012342607
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1386012342607
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1386012342608
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1386012342609
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1386012342610
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1386012342611
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1386012342611
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1386012342611
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1386012342612
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1386012342612
stopped,bundle,org.eclipse.egit.mylyn.ui,1.3.0.201202151440-r,"org.eclipse.egit.mylyn.ui",1386012342613
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.bugzilla.ui",1386012342613
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.tasks.ui",1386012342613
stopped,bundle,org.eclipse.mylyn.help.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.help.ui",1386012342614
stopped,bundle,org.eclipse.mylyn.java.tasks,3.8.3.v20130107-0100,"org.eclipse.mylyn.java.tasks",1386012342615
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.bugs",1386012342615
stopped,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1386012342616
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.7.3.v20130107-0100,"org.eclipse.mylyn.wikitext.tasks.ui",1386012342616
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui",1386012342617
stopped,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.feed",1386012342617
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.200.v20100503,"org.eclipse.equinox.jsp.jasper.registry",1386012342618
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1386012342618
stopped,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1386012342619
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1386012342620
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1386012342623
stopped,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1386012342624
stopped,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1386012342625
